1	1	2	0	0.003	0.014	0.461	175	193	200
2	1	3	0	0.055	0.211	0.057	175	208	220
3	1	5	0	0.022	0.085	0.023	175	208	220
4	2	4	0	0.033	0.127	0.034	175	208	220
5	2	6	0	0.05	0.192	0.052	175	208	220
6	3	9	0	0.031	0.119	0.032	175	208	220
7	3	24	1	0.002	0.084	0	400	510	600
8	4	9	0	0.027	0.104	0.028	175	208	220
9	5	10	0	0.023	0.088	0.024	175	208	220
10	6	10	0	0.014	0.061	2.459	175	193	200
11	7	8	0	0.016	0.061	0.017	175	208	220
12	7	27	0	0.042	0.161	0.044	175	208	220
13	8	9	0	0.043	0.165	0.045	175	208	220
14	8	10	0	0.043	0.165	0.045	175	208	220
15	9	11	1	0.002	0.084	0	400	510	600
16	9	12	1	0.002	0.084	0	400	510	600
17	10	11	1	0.002	0.084	0	400	510	600
18	10	12	1	0.002	0.084	0	400	510	600
19	11	14	0	0.005	0.042	0.088	500	600	625
20	12	13	0	0.006	0.048	0.1	500	600	625
21	12	23	0	0.012	0.097	0.203	500	600	625
22	13	23	0	0.011	0.087	0.182	500	600	625
23	13	39	0	0.01	0.075	0.158	500	600	625
24	14	16	0	0.005	0.059	0.082	350	600	625
25	15	16	0	0.002	0.017	0.036	500	600	625
26	15	21	0	0.006	0.049	0.103	500	600	625
27	15	21	0	0.006	0.049	0.103	500	600	625
28	15	24	0	0.007	0.052	0.109	500	600	625
29	16	17	0	0.003	0.026	0.055	500	600	625
30	16	19	0	0.003	0.023	0.049	500	600	625
31	17	18	0	0.002	0.014	0.03	500	600	625
32	17	22	0	0.014	0.105	0.221	500	600	625
33	18	21	0	0.003	0.026	0.055	500	600	625
34	18	21	0	0.003	0.026	0.055	500	600	625
35	19	20	0	0.005	0.04	0.083	500	600	625
36	19	20	0	0.005	0.04	0.083	500	600	625
37	20	23	0	0.003	0.022	0.046	500	600	625
38	20	23	0	0.003	0.022	0.046	500	600	625
39	21	22	0	0.009	0.068	0.142	500	600	625
40	23	41	0	0.01	0.074	0.155	500	600	625
41	25	26	0	0.003	0.014	0.461	175	193	200
42	25	27	0	0.055	0.211	0.057	175	208	220
43	25	29	0	0.022	0.085	0.023	175	208	220
44	26	28	0	0.033	0.127	0.034	175	208	220
45	26	30	0	0.05	0.192	0.052	175	208	220
46	27	33	0	0.031	0.119	0.032	175	208	220
47	27	48	1	0.002	0.084	0	400	510	600
48	28	33	0	0.027	0.104	0.028	175	208	220
49	29	34	0	0.023	0.088	0.024	175	208	220
50	30	34	0	0.014	0.061	2.459	175	193	200
