1   2   51
2   1   20
3   1   39
4   2   39
5   1   0
6   2   52
7   1   19
8   2   28
9   1   0
10  2   0
11  1   70
12  2   47
13  1   34
14  1   14
15  2   90
16  1   25
17  1   11
18  2   60
19  2   45
20  1   18
21  1   14
22  1   10
23  1   7
24  2   13
25  2   0
26  2   0
27  2   71
28  1   17
29  1   24
30  1   0
31  2   43
32  2   59
33  1   23
34  2   59
35  1   33
36  2   31
37  1   0
38  1   0
39  1   27
40  2   66
41  1   37
42  2   96
43  1   18
44  1   16
45  1   53
46  2   28
47  1   34
48  1   20
49  2   87
50  1   17
51  1   17
52  1   18
53  1   23
54  2   113
55  2   63
56  2   84
57  1   12
58  1   12
59  2   277
60  1   78
61  2   0
62  2   77
63  1   0
64  1   0
65  2   0
66  2   39
67  1   28
68  1   0
69  3   0
70  2   66
71  1   0
72  2   12
73  2   6
74  2   68
75  1   47
76  2   68
77  2   61
78  1   71
79  1   39
80  2   130
81  1   0
82  1   54
83  1   20
84  1   11
85  2   24
86  1   21
87  2   0
88  1   48
89  2   0
90  2   163
91  2   10
92  2   65
93  1   12
94  1   30
95  1   42
96  1   38
97  1   15
98  1   34
99  2   42
100 2   37
101 1   22
102 1   5
103 2   23
104 2   38
105 2   31
106 1   43
107 2   50
108 1   2
109 1   8
110 2   39
111 2   0
112 2   68
113 2   6
114 1   8
115 1   22
116 2   184
117 1   20
118 1   33
